Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description,Processed
vRrpu5VhYy,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
vw28VZ1BQN,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
VXd2DFSUcE,FALSE,,TRUE,"uses open data on the UK's Register of Charities to provide the basic information (name, charity number, contact details, aims and most recent accounts info) in an accessible way, making the data reused for mashups, analysis, and in other websites",FALSE,,FALSE,,FALSE,,0
VzSofXqAOU,TRUE,Collaborates with the Ministry of Information Communication and Infrastructure (MOICI) to educate and inform the people of Gambia.,FALSE,,FALSE,,FALSE,,FALSE,,0
w3dNHMPSDK,FALSE,,TRUE,"collects and aligns data on air quality, chemical exposures and health impacts, adds the data to GeoHealthUS' geographic coverage continuously",FALSE,,FALSE,,FALSE,,0
WaEeTKek9n,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
WBgytYkgdt,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
WEdNBMIMGR,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
whNzFbkEvt,TRUE,Provides infrastructure for analyzing open data; Promotes open data through events.,FALSE,,FALSE,,FALSE,,FALSE,,0
WJ8Dho2TFT,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
wLe1qUuYQ3,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
wMp92SmxAf,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
WPwml4Ezgp,TRUE,Promotes and encourage use of open data.,FALSE,,FALSE,,FALSE,,FALSE,,0
WrEdbaOtST,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
WSdBVHW1CB,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
wV1wRtnpO3,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
Wx7irQKFyn,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
WYF6M6aEPA,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,0
