time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-08T15:44:48.040Z,13.2582,-89.7112,60.35,5.1,mb,,67,0.631,1.11,us,us20002515,2015-04-09T01:35:01.812Z,"39km SSE of Acajutla, El Salvador",earthquake
2015-04-08T14:54:54.860Z,0.301,125.3611,69.57,4.4,mb,,110,2.059,0.74,us,us2000250w,2015-04-08T22:57:31.705Z,"117km ESE of Modayag, Indonesia",earthquake
2015-04-08T14:47:44.000Z,57.9244,-151.8976,40.5,3.2,ml,,,,0.98,ak,ak11549072,2015-04-08T18:24:33.451Z,"33km ENE of Kodiak, Alaska",earthquake
2015-04-08T14:01:18.400Z,35.8209,-97.414,4.727,2.7,ml,,60,,0.41,us,us2000250n,2015-04-08T21:36:30.854Z,"6km S of Guthrie, Oklahoma",earthquake
2015-04-08T13:52:07.420Z,16.2684,-98.3727,10,4.5,mb,,197,1.3,0.79,us,us20002506,2015-04-08T21:54:47.166Z,"22km SSE of Cuajinicuilapa, Mexico",earthquake
2015-04-08T13:49:36.830Z,-6.1304,130.4016,151.08,4.6,mb,,72,2.044,0.77,us,us20002504,2015-04-08T21:52:19.844Z,"225km NNW of Saumlaki, Indonesia",earthquake
2015-04-08T13:33:35.430Z,35.3613,27.7396,37.35,4.4,mb,,106,0.507,0.87,us,us200024zz,2015-04-08T21:36:38.530Z,"50km ESE of Karpathos, Greece",earthquake
2015-04-08T13:07:55.000Z,58.2876,-151.2572,47.9,2.6,ml,,,,0.7,ak,ak11549035,2015-04-08T21:10:34.938Z,"87km NE of Kodiak, Alaska",earthquake
2015-04-08T13:07:36.600Z,19.3923,-155.2463,2.7,2.5,Ml,,43.2,0.01796631,0.09,hv,hv60889991,2015-04-08T22:18:57.401Z,"4km SSW of Volcano, Hawaii",earthquake
2015-04-08T12:47:04.440Z,-14.6542,167.3874,143.39,4.4,mb,,111,0.808,0.6,us,us200024zs,2015-04-08T20:50:12.055Z,"56km NE of Port-Olry, Vanuatu",earthquake
2015-04-08T12:07:39.800Z,19.393,-155.2757,2.7,2.5,Ml,,43.2,0,0.11,hv,hv60889966,2015-04-08T21:10:58.248Z,"5km SW of Volcano, Hawaii",earthquake
2015-04-08T10:29:52.280Z,-19.2734,-69.272,109.13,4.5,mb,,47,0.336,1.19,us,us200024za,2015-04-08T18:32:21.521Z,"122km SSE of Putre, Chile",earthquake
2015-04-08T09:47:16.440Z,-13.2627,-112.4561,10,4.7,mb,,111,14.1,0.72,us,us200024z8,2015-04-08T17:49:44.747Z,"Central East Pacific Rise",earthquake
